Salt,Structure,Theory,Metal Basis Set,Halide Basis Set,Lattice Energy,a(0 K) [Angstrom],b(0 K) [Angstrom],c(0 K) [Angstrom],a(298 K) [Angstrom],b(298 K) [Angstrom],c(298 K) [Angstrom],Metal x,Metal y,Metal z,Halide x,Halide y,Halide z
LiBr,NiAs,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.19E+02,3.8054,3.8054,6.405597,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.20E+02,5.444693,5.444693,5.444693,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.11E+02,4.140729,4.140729,4.140729,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.11E+02,4.170661,4.170661,6.675705,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.64E+02,6.14347,8.371639,4.833368,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.75E+02,4.160543,4.160543,6.870699,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.75E+02,5.919463,5.919463,5.919463,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.67E+02,4.499474,4.499474,4.499474,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.67E+02,4.501133,4.501133,7.347601,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiF,FiveFive,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-1.01E+03,4.100877,5.833248,3.367827,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-1.01E+03,2.836066,2.836066,4.908245,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-1.02E+03,4.084183,4.084183,4.084183,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-1.01E+03,3.11399,3.11399,3.11399,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-1.01E+03,3.129647,3.129647,5.030228,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-8.41E+02,5.230936,7.307847,4.219187,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-8.44E+02,3.589621,3.589621,6.079947,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-8.47E+02,5.143927,5.143927,5.143927,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-8.41E+02,3.911388,3.911388,3.911388,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-8.42E+02,3.921164,3.921164,6.362158,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.97E+02,5.65679,7.790736,4.497984,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-8.02E+02,3.851222,3.851222,6.469043,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-8.04E+02,5.506545,5.506545,5.506545,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.99E+02,4.181401,4.181401,4.181401,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.99E+02,4.189744,4.189744,6.811941,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.48E+02,6.291519,8.465261,4.887421,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.55E+02,4.227924,4.227924,6.97353,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.54E+02,6.01314,6.01314,6.01314,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.52E+02,4.566275,4.566275,4.566275,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.52E+02,4.568412,4.568412,7.456726,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.77E+02,5.611891,8.203622,4.736363,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.82E+02,3.90995,3.90995,6.78694,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.87E+02,5.636839,5.636839,5.636839,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.68E+02,4.385703,4.385703,4.385703,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,PBE-rVV10L,pob_TZVP,Sapporo-QZP,-7.69E+02,4.399542,4.399542,7.112281,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.99E+02,5.629827,7.775111,4.488962,,,,0.25,0.166667,0.5,0.25,0.333333,0
